id,Model,ProductCode,PlannedQty,OTSTargeDate
2478,GL5A0,NB01,1,2020/11/10
2479,GT4A0,NB01,1,2020/11/3
2480,GT4A0,NB01,1,2020/11/3
2481,GT4A1,NB01,3,2020/10/12
2482,GT4A1,NB01,2,2020/10/12
2483,GL4A5,NB01,10,2020/10/12
2484,GP54G,NB01,1,2020/11/18
2485,GP540,NB01,1,2020/11/18
2486,GP540,NB01,1,2020/11/18
2487,GT5A1,NB01,2,2020/10/13
2488,FL590,NB01,4,2020/10/13
2489,FE595,NB01,1,2020/10/13
2490,FL590,NB01,1,2020/10/13
2491,GX4A0,NB01,1,2020/10/13
2492,GX4A0,NB01,1,2020/10/13
2493,GP540,NB01,1,2020/11/4
2494,FE5A0,NB01,1,2020/11/4
