id,Model,ProductCode,PlannedQty,OTSTargeDate
1972,GYG50,NB01,1,2020/11/5
1973,GP540,NB01,1,2020/11/5
1974,GP540,NB01,1,2020/11/5
1975,GYG50,NB01,3,2020/10/28
1976,GT4A0,NB01,10,2020/10/26
1977,FX490,NB01,50,2020/10/28
1978,GYGB0,NB12,1,2020/10/26
1979,GX3A1,NB01,1,2020/10/26
1980,GT4A0,NB01,2,2020/10/26
1981,FYG80,NB12,1,2020/10/27
1982,GY535,NB12,1,2020/10/26
1983,GYG51,NB12,15,2020/11/2
1984,GL4A0,NB01,2,2020/10/27
1985,GX3A1,NB01,1,2020/10/27
1986,GT4A0,NB01,1,2020/10/27
1987,FG541,NB12,150,2020/11/13
1988,GT5A1,NB01,10,2020/10/9
1989,GYG50,NB01,1,2020/10/9
1990,GT4A1,NB01,6,2020/10/9
1991,GT4A1,NB01,6,2020/10/9
1992,GYG50,NB01,1,2020/10/9
1993,GX4A0,NB01,10,2020/10/9
1994,FYG80,NB12,4,2020/11/2
1995,GT4A1,NB01,5,2020/10/9
1996,GT4A1,NB01,7,2020/10/9
1997,GT5A1,NB01,30,2020/10/9
1998,GP54G,NB01,5,2020/10/31
1999,GP5A1,NB01,5,2020/10/31
2000,GP5A1,NB01,25,2020/11/2
2001,GP54G,NB01,22,2020/11/2
2002,GP5A1,NB01,10,2020/11/5
2003,GP54G,NB01,2,2020/11/5
2004,GP54G,NB01,2,2020/11/5
2005,GT4A0,NB01,1,2020/10/31
2006,GP540,NB01,1,2020/10/31
2007,GP540,NB01,1,2020/10/31
2008,GP5A1,NB01,3,2020/10/31
2009,HS45C,NB12,260,2020/10/12
2010,HS45C,NB12,260,2020/10/12
2011,HS45C,NB12,260,2020/10/12
2012,HS45C,NB12,260,2020/10/12
2013,HS45C,NB12,260,2020/10/12
2014,GY510,NB12,100,2020/10/16
2015,GL4A0,NB01,90,2020/10/25
2016,GL4A0,NB01,90,2020/10/25
2017,GE4B0,NB01,6,2020/10/17
2018,GE4B0,NB01,1,2020/10/17
2019,HC110,NB12,3,2020/11/2
2020,FYG80,NB12,1,2020/10/27
2021,GP540,NB01,1,2020/11/5
2022,GX3A1,NB01,1,2020/10/27
2023,GL4A0,NB01,250,2020/10/9
2024,FYG40,NB01,1,2020/10/31
2025,HC110,NB12,25,2020/11/2
2026,HC110,NB12,60,2020/11/2
2027,HC150,NB12,300,2020/10/2
2028,HC150,NB12,172,2020/10/2
2029,HC110,NB12,7,2020/11/2
2030,HC150,NB12,4,2020/11/2
2031,GV451,NB12,300,2020/10/2
2032,GV451,NB12,300,2020/10/2
2033,GV451,NB12,300,2020/10/2
2034,GV451,NB12,108,2020/10/2
2035,GV451,NB12,300,2020/10/2
2036,FX490,NB01,19,2020/10/27
2037,GP54G,NB01,5,2020/10/27
2038,GP54G,NB01,5,2020/10/27
2039,GP54G,NB01,5,2020/10/27
2040,GT4A0,NB01,8,2020/10/27
2041,FYG50,NB12,1,2020/10/27
2042,GX4A0,NB01,1,2020/10/28
2043,GL4A0,NB01,15,2020/10/28
2044,GT4A0,NB01,10,2020/10/27
2045,GT4A0,NB01,7,2020/10/27
2046,GT4A0,NB01,1,2020/10/27
2047,GP54G,NB01,1,2020/11/5
2048,GL4A0,NB01,1,2020/11/9
2049,GL5A0,NB01,1,2020/11/5
2050,GP54G,NB01,1,2020/11/5
2051,FE5A0,NB01,1,2020/11/5
2052,GYG41,NB12,300,2020/10/20
2053,GYG41,NB12,300,2020/10/20
2054,GYG41,NB12,300,2020/10/20
2055,GYG41,NB12,300,2020/10/20
2056,GYG41,NB12,300,2020/10/20
2057,GYG41,NB12,300,2020/10/20
2058,GYG41,NB12,300,2020/10/20
2059,GYG50,NB01,1,2020/10/27
2060,GT4A0,NB01,1,2020/10/29
2061,GX3A1,NB01,1,2020/10/27
2062,GX3A1,NB01,1,2020/10/27
2063,FYG50,NB12,1,2020/10/27
2064,GX3A1,NB01,1,2020/10/27
2065,GT4A0,NB01,2,2020/11/6
2066,GT4A0,NB01,148,2020/11/6
2067,GP54G,NB01,5,2020/10/27
2068,GX3A1,NB01,1,2020/10/29
2069,GX4A0,NB01,2,2020/10/29
2070,GL4A0,NB01,3,2020/10/27
2071,FE595,NB01,1,2020/10/9
2072,GT4A1,NB01,7,2020/10/9
2073,GT4A1,NB01,3,2020/10/9
