id,model,line,uph,plantcode,mcode,scheduling_no,material_type,master
1,GS55G,1ASSYA,260,CN06,NB12,1,,1
2,FPD0P,1ASSYA,120,CN06,NB12,1,,1
3,GS554,1ASSYA,200,CN06,NB12,1,,1
4,GS55B,1ASSYA,200,CN06,NB12,1,,1
5,GS552,1ASSYA,200,CN06,NB12,1,,1
6,GS551,1ASSYA,200,CN06,NB12,1,,1
7,GS550,1ASSYA,200,CN06,NB12,1,,1
8,GS349,1ASSYB,260,CN06,NB12,1,,0
9,GS348,1ASSYB,250,CN06,NB12,1,,0
10,FS541,1ASSYB,250,CN06,NB12,1,,0
11,GS346,1ASSYB,220,CN06,NB12,1,,0
12,EYG11,1ASSYB,270,CN06,NB12,1,,0
13,GS345,1ASSYB,250,CN06,NB12,1,,1
14,EYG10,1ASSYB,250,CN06,NB12,1,,1
15,GS343,1ASSYB,250,CN06,NB12,1,,1
16,GS540,1ASSYB,250,CN06,NB12,1,,0
17,GS342,1ASSYB,250,CN06,NB12,1,,1
18,GS341,1ASSYB,250,CN06,NB12,1,,0
19,GS340,1ASSYB,250,CN06,NB12,1,,0
20,GV450,1ASSYB,250,CN06,NB12,1,,0
21,GYGB0,1ASSYB,30,CN06,NB12,1,,1
22,GV451,1ASSYB,250,CN06,NB12,1,,0
23,GV453,1ASSYB,250,CN06,NB12,1,,0
24,FYG62,1ASSYB,250,CN06,NB12,1,,1
25,FS54A,1ASSYB,250,CN06,NB12,1,,0
26,GS54D,1ASSYB,250,CN06,NB12,1,,0
27,ES530,1ASSYB,250,CN06,NB12,1,,1
28,GS54B,1ASSYB,250,CN06,NB12,1,,0
29,EG532,1ASSYB,270,CN06,NB12,1,,0
30,GS554,1ASSYB,200,CN06,NB12,1,,1
31,FS433,1ASSYB,250,CN06,NB12,1,,1
32,FS434,1ASSYB,270,CN06,NB12,1,,0
33,DMX50,1ASSYB,270,CN06,NB12,1,,0
34,GS552,1ASSYB,200,CN06,NB12,1,,1
35,FS435,1ASSYB,250,CN06,NB12,1,,1
36,GS551,1ASSYB,260,CN06,NB12,1,,0
37,FS436,1ASSYB,270,CN06,NB12,1,,0
38,GS550,1ASSYB,260,CN06,NB12,1,,0
39,GS55B,1ASSYB,200,CN06,NB12,1,,1
40,HY578,1ASSYB,260,CN06,NB12,1,,1
41,GS55A,1ASSYB,250,CN06,NB12,1,,0
42,EG521,1ASSYB,270,CN06,NB12,1,,0
43,GYG41,1ASSYB,200,CN06,NB12,1,,1
44,GYG42,1ASSYB,260,CN06,NB12,1,,1
45,FS442,1ASSYB,270,CN06,NB12,1,,0
46,FS443,1ASSYB,250,CN06,NB12,1,,1
47,FS447,1ASSYB,270,CN06,NB12,1,,0
48,GS440,1ASSYB,250,CN06,NB12,1,,0
49,EG54A,1ASSYB,270,CN06,NB12,1,,0
50,FYG81,1ASSYB,270,CN06,NB12,1,,0
51,FYG80,1ASSYB,50,CN06,NB12,1,,1
52,GV550,1ASSYB,250,CN06,NB12,1,,0
53,ES430,1ASSYB,270,CN06,NB12,1,,0
54,GV551,1ASSYB,250,CN06,NB12,1,,0
55,FYG41,1ASSYB,290,CN06,NB12,1,,1
56,GV552,1ASSYB,250,CN06,NB12,1,,0
57,FS44A,1ASSYB,250,CN06,NB12,1,,0
58,ES433,1ASSYB,270,CN06,NB12,1,,0
59,ES434,1ASSYB,270,CN06,NB12,1,,0
60,FS44C,1ASSYB,270,CN06,NB12,1,,0
61,GS44D,1ASSYB,250,CN06,NB12,1,,0
62,EYG71,1ASSYB,250,CN06,NB12,1,,1
63,EYG70,1ASSYB,250,CN06,NB12,1,,1
64,GYG51,1ASSYB,200,CN06,NB12,1,,1
65,EYG20,1ASSYB,270,CN06,NB12,1,,0
66,GS457,1ASSYB,260,CN06,NB12,1,,0
67,FS532,1ASSYB,250,CN06,NB12,1,,1
68,EYG21,1ASSYB,270,CN06,NB12,1,,0
69,GS454,1ASSYB,200,CN06,NB12,1,,1
70,FS533,1ASSYB,270,CN06,NB12,1,,0
71,GS453,1ASSYB,260,CN06,NB12,1,,1
72,FS534,1ASSYB,250,CN06,NB12,1,,1
73,GS452,1ASSYB,200,CN06,NB12,1,,1
74,FS535,1ASSYB,270,CN06,NB12,1,,0
75,DYG61,1ASSYB,270,CN06,NB12,1,,0
76,GS451,1ASSYB,260,CN06,NB12,1,,0
77,FS536,1ASSYB,250,CN06,NB12,1,,1
78,DYG60,1ASSYB,270,CN06,NB12,1,,0
79,GS450,1ASSYB,260,CN06,NB12,1,,0
80,FYG50,1ASSYB,250,CN06,NB12,1,,1
81,FS537,1ASSYB,270,CN06,NB12,1,,1
82,FS538,1ASSYB,270,CN06,NB12,1,,0
83,FS539,1ASSYB,270,CN06,NB12,1,,0
84,GV440,1ASSYB,250,CN06,NB12,1,,0
85,GS45A,1ASSYB,250,CN06,NB12,1,,0
86,GYG92,1ASSYB,200,CN06,NB12,1,,1
87,GYG90,1ASSYB,30,CN06,NB12,1,,1
88,GYG91,1ASSYB,30,CN06,NB12,1,,1
89,FS540,1ASSYC,250,CN06,NB12,1,,0
90,FS541,1ASSYC,250,CN06,NB12,1,,0
91,FS542,1ASSYC,250,CN06,NB12,1,,0
92,FS543,1ASSYC,250,CN06,NB12,1,,0
93,GS541,1ASSYC,250,CN06,NB12,1,,0
94,GS540,1ASSYC,250,CN06,NB12,1,,0
95,GV450,1ASSYC,300,CN06,NB12,1,,0
96,GV451,1ASSYC,300,CN06,NB12,1,,0
97,GV453,1ASSYC,260,CN06,NB12,1,,1
98,GS54E,1ASSYC,250,CN06,NB12,1,,0
99,FS54A,1ASSYC,250,CN06,NB12,1,,0
100,GS54D,1ASSYC,250,CN06,NB12,1,,0
101,FS54B,1ASSYC,250,CN06,NB12,1,,0
102,GS54C,1ASSYC,250,CN06,NB12,1,,0
103,GS54B,1ASSYC,250,CN06,NB12,1,,0
104,EG532,1ASSYC,250,CN06,NB12,1,,0
105,GS557,1ASSYC,260,CN06,NB12,1,,1
106,GS554,1ASSYC,300,CN06,NB12,1,,1
107,GS553,1ASSYC,260,CN06,NB12,1,,0
108,GS552,1ASSYC,300,CN06,NB12,1,,1
109,GS551,1ASSYC,300,CN06,NB12,1,,1
110,GS550,1ASSYC,300,CN06,NB12,1,,1
111,GS55K,1ASSYC,260,CN06,NB12,1,,1
112,GV541,1ASSYC,250,CN06,NB12,1,,0
113,GS55D,1ASSYC,260,CN06,NB12,1,,1
114,GS55C,1ASSYC,200,CN06,NB12,1,,0
115,GS55B,1ASSYC,260,CN06,NB12,1,,1
116,GS55A,1ASSYC,250,CN06,NB12,1,,0
117,EG521,1ASSYC,250,CN06,NB12,1,,0
118,FS440,1ASSYC,250,CN06,NB12,1,,1
119,FS441,1ASSYC,250,CN06,NB12,1,,1
120,FS442,1ASSYC,250,CN06,NB12,1,,1
121,GS441,1ASSYC,250,CN06,NB12,1,,0
122,FS447,1ASSYC,250,CN06,NB12,1,,1
123,GS440,1ASSYC,300,CN06,NB12,1,,0
124,EG54A,1ASSYC,250,CN06,NB12,1,,0
125,GV550,1ASSYC,250,CN06,NB12,1,,0
126,GV551,1ASSYC,300,CN06,NB12,1,,0
127,FS44A,1ASSYC,250,CN06,NB12,1,,1
128,GS44E,1ASSYC,250,CN06,NB12,1,,0
129,FS44C,1ASSYC,250,CN06,NB12,1,,1
130,GS44D,1ASSYC,300,CN06,NB12,1,,0
131,GS44B,1ASSYC,250,CN06,NB12,1,,0
132,GS457,1ASSYC,300,CN06,NB12,1,,1
133,GS454,1ASSYC,300,CN06,NB12,1,,1
134,GS453,1ASSYC,300,CN06,NB12,1,,1
135,GS452,1ASSYC,300,CN06,NB12,1,,0
136,GS451,1ASSYC,300,CN06,NB12,1,,0
137,GS450,1ASSYC,300,CN06,NB12,1,,0
138,GV440,1ASSYC,250,CN06,NB12,1,,0
139,GS45A,1ASSYC,300,CN06,NB12,1,,0
140,FY522,1ASSYD,250,CN06,NB12,1,,1
141,FY521,1ASSYD,250,CN06,NB12,1,,1
142,FY520,1ASSYD,250,CN06,NB12,1,,1
143,FS541,1ASSYD,250,CN06,NB12,1,,0
144,GS540,1ASSYD,250,CN06,NB12,1,,0
145,GS440,1ASSYD,250,CN06,NB12,1,,0
146,GY551,1ASSYD,250,CN06,NB12,1,,0
147,GY550,1ASSYD,250,CN06,NB12,1,,0
148,GV450,1ASSYD,250,CN06,NB12,1,,0
149,GV550,1ASSYD,250,CN06,NB12,1,,0
150,GV451,1ASSYD,250,CN06,NB12,1,,0
151,GV551,1ASSYD,250,CN06,NB12,1,,0
152,GV452,1ASSYD,250,CN06,NB12,1,,0
153,GV552,1ASSYD,250,CN06,NB12,1,,0
154,GV453,1ASSYD,250,CN06,NB12,1,,0
155,GS54E,1ASSYD,250,CN06,NB12,1,,0
156,FS54A,1ASSYD,250,CN06,NB12,1,,0
157,GS54D,1ASSYD,250,CN06,NB12,1,,0
158,GS44D,1ASSYD,250,CN06,NB12,1,,0
159,GS54B,1ASSYD,250,CN06,NB12,1,,0
160,GS44B,1ASSYD,250,CN06,NB12,1,,0
161,GY55C,1ASSYD,250,CN06,NB12,1,,0
162,FY710,1ASSYD,200,CN06,NB12,1,,1
163,GY55B,1ASSYD,250,CN06,NB12,1,,0
164,FY714,1ASSYD,220,CN06,NB12,1,,1
165,FY515,1ASSYD,250,CN06,NB12,1,,1
166,GY55H,1ASSYD,250,CN06,NB12,1,,0
167,GS554,1ASSYD,200,CN06,NB12,1,,0
168,GY55K,1ASSYD,200,CN06,NB12,1,,1
169,GY55J,1ASSYD,250,CN06,NB12,1,,0
170,GS552,1ASSYD,200,CN06,NB12,1,,0
171,GS551,1ASSYD,200,CN06,NB12,1,,0
172,GY55L,1ASSYD,250,CN06,NB12,1,,0
173,GS550,1ASSYD,260,CN06,NB12,1,,0
174,FY715,1ASSYD,200,CN06,NB12,1,,1
175,GY75M,1ASSYD,180,CN06,NB12,1,,1
176,GY540,1ASSYD,250,CN06,NB12,1,,1
177,GY553,1ASSYD,250,CN06,NB12,1,,0
178,GY750,1ASSYD,200,CN06,NB12,1,,1
179,GY552,1ASSYD,250,CN06,NB12,1,,0
180,GV440,1ASSYD,250,CN06,NB12,1,,0
181,GY752,1ASSYD,200,CN06,NB12,1,,1
182,GV541,1ASSYD,250,CN06,NB12,1,,0
183,GY559,1ASSYD,250,CN06,NB12,1,,0
184,GS55A,1ASSYD,250,CN06,NB12,1,,0
185,GS45A,1ASSYD,250,CN06,NB12,1,,0
186,GY55A,1ASSYD,250,CN06,NB12,1,,0
187,FS540,1ASSYE,250,CN06,NB12,1,,0
188,FS541,1ASSYE,250,CN06,NB12,1,,0
189,FS542,1ASSYE,250,CN06,NB12,1,,0
190,FS543,1ASSYE,250,CN06,NB12,1,,0
191,GS541,1ASSYE,250,CN06,NB12,1,,0
192,GS540,1ASSYE,250,CN06,NB12,1,,0
193,GV450,1ASSYE,250,CN06,NB12,1,,0
194,GV451,1ASSYE,250,CN06,NB12,1,,0
195,GV452,1ASSYE,250,CN06,NB12,1,,0
196,GV453,1ASSYE,250,CN06,NB12,1,,0
197,GS54E,1ASSYE,250,CN06,NB12,1,,1
198,FS54A,1ASSYE,250,CN06,NB12,1,,0
199,GS54D,1ASSYE,250,CN06,NB12,1,,0
200,FS54B,1ASSYE,250,CN06,NB12,1,,0
201,GS54C,1ASSYE,250,CN06,NB12,1,,0
202,GS54B,1ASSYE,250,CN06,NB12,1,,0
203,GS554,1ASSYE,300,CN06,NB12,1,,1
204,GS552,1ASSYE,300,CN06,NB12,1,,1
205,GS551,1ASSYE,300,CN06,NB12,1,,1
206,GS550,1ASSYE,300,CN06,NB12,1,,1
207,GV541,1ASSYE,250,CN06,NB12,1,,0
208,GS55B,1ASSYE,200,CN06,NB12,1,,0
209,GS55A,1ASSYE,250,CN06,NB12,1,,0
210,FS440,1ASSYE,250,CN06,NB12,1,,0
211,FS441,1ASSYE,250,CN06,NB12,1,,0
212,FS442,1ASSYE,250,CN06,NB12,1,,0
213,GS441,1ASSYE,250,CN06,NB12,1,,0
214,FS447,1ASSYE,250,CN06,NB12,1,,0
215,GS440,1ASSYE,250,CN06,NB12,1,,0
216,GV550,1ASSYE,250,CN06,NB12,1,,0
217,GV551,1ASSYE,250,CN06,NB12,1,,0
218,GV552,1ASSYE,250,CN06,NB12,1,,0
219,FS44A,1ASSYE,250,CN06,NB12,1,,0
220,GS44E,1ASSYE,250,CN06,NB12,1,,0
221,FS44C,1ASSYE,250,CN06,NB12,1,,0
222,FE490,1ASSYE,150,CN06,NB12,1,,0
223,GS44D,1ASSYE,250,CN06,NB12,1,,0
224,GS44B,1ASSYE,250,CN06,NB12,1,,0
225,GS457,1ASSYE,260,CN06,NB12,1,,0
226,GS454,1ASSYE,300,CN06,NB12,1,,0
227,GS453,1ASSYE,300,CN06,NB12,1,,0
228,HS45C,1ASSYE,260,CN06,NB12,1,,1
229,GS452,1ASSYE,300,CN06,NB12,1,,0
230,GS451,1ASSYE,300,CN06,NB12,1,,0
231,GS450,1ASSYE,300,CN06,NB12,1,,0
232,HS458,1ASSYE,260,CN06,NB12,1,,1
233,GV440,1ASSYE,250,CN06,NB12,1,,0
234,HS456,1ASSYE,260,CN06,NB12,1,,1
235,GS45A,1ASSYE,300,CN06,NB12,1,,0
236,GS349,1ASSYF,280,CN06,NB12,1,,1
237,GS348,1ASSYF,280,CN06,NB12,1,,0
238,FS540,1ASSYF,250,CN06,NB12,1,,0
239,FS541,1ASSYF,250,CN06,NB12,1,,0
240,GS346,1ASSYF,220,CN06,NB12,1,,1
241,FS542,1ASSYF,250,CN06,NB12,1,,0
242,GS345,1ASSYF,280,CN06,NB12,1,,1
243,FS543,1ASSYF,250,CN06,NB12,1,,0
244,GS541,1ASSYF,250,CN06,NB12,1,,0
245,GS343,1ASSYF,280,CN06,NB12,1,,0
246,GS540,1ASSYF,250,CN06,NB12,1,,0
247,GS342,1ASSYF,280,CN06,NB12,1,,0
248,GS341,1ASSYF,280,CN06,NB12,1,,0
249,GS340,1ASSYF,280,CN06,NB12,1,,0
250,GV450,1ASSYF,280,CN06,NB12,1,,0
251,GV451,1ASSYF,280,CN06,NB12,1,,0
252,GV452,1ASSYF,250,CN06,NB12,1,,0
253,GV453,1ASSYF,250,CN06,NB12,1,,0
254,GS54E,1ASSYF,250,CN06,NB12,1,,0
255,FS54A,1ASSYF,250,CN06,NB12,1,,0
256,GS54D,1ASSYF,250,CN06,NB12,1,,0
257,FS54B,1ASSYF,250,CN06,NB12,1,,0
258,GS54C,1ASSYF,250,CN06,NB12,1,,0
259,GS54B,1ASSYF,250,CN06,NB12,1,,0
260,GS34A,1ASSYF,300,CN06,NB12,1,,1
261,GS554,1ASSYF,300,CN06,NB12,1,,1
262,GS552,1ASSYF,260,CN06,NB12,1,,0
263,GS551,1ASSYF,260,CN06,NB12,1,,0
264,GS550,1ASSYF,300,CN06,NB12,1,,1
265,HF3M0,1ASSYF,200,CN06,NB12,1,,1
266,GV541,1ASSYF,250,CN06,NB12,1,,0
267,GS55B,1ASSYF,260,CN06,NB12,1,,0
268,GS55A,1ASSYF,250,CN06,NB12,1,,0
269,FS440,1ASSYF,250,CN06,NB12,1,,0
270,FS441,1ASSYF,250,CN06,NB12,1,,0
271,FS442,1ASSYF,250,CN06,NB12,1,,0
272,GS441,1ASSYF,250,CN06,NB12,1,,0
273,FS447,1ASSYF,250,CN06,NB12,1,,0
274,GS440,1ASSYF,280,CN06,NB12,1,,0
275,GY551,1ASSYF,250,CN06,NB12,1,,0
276,GV550,1ASSYF,250,CN06,NB12,1,,0
277,GV551,1ASSYF,270,CN06,NB12,1,,0
278,GV552,1ASSYF,250,CN06,NB12,1,,0
279,FS44A,1ASSYF,280,CN06,NB12,1,,0
280,FS44C,1ASSYF,250,CN06,NB12,1,,0
281,GS44D,1ASSYF,280,CN06,NB12,1,,0
282,GS44B,1ASSYF,250,CN06,NB12,1,,0
283,GY55C,1ASSYF,250,CN06,NB12,1,,0
284,GY55E,1ASSYF,250,CN06,NB12,1,,0
285,GY55G,1ASSYF,250,CN06,NB12,1,,0
286,GS457,1ASSYF,260,CN06,NB12,1,,0
287,GS454,1ASSYF,260,CN06,NB12,1,,0
288,GY55J,1ASSYF,250,CN06,NB12,1,,0
289,GS453,1ASSYF,260,CN06,NB12,1,,1
290,HS45C,1ASSYF,260,CN06,NB12,1,,1
291,GS452,1ASSYF,260,CN06,NB12,1,,0
292,GY55L,1ASSYF,250,CN06,NB12,1,,0
293,GS451,1ASSYF,260,CN06,NB12,1,,0
294,GS450,1ASSYF,260,CN06,NB12,1,,0
295,GY553,1ASSYF,250,CN06,NB12,1,,0
296,HS458,1ASSYF,260,CN06,NB12,1,,1
297,GV440,1ASSYF,250,CN06,NB12,1,,0
298,GY556,1ASSYF,250,CN06,NB12,1,,0
299,HS456,1ASSYF,60,CN06,NB12,1,,1
300,GY558,1ASSYF,250,CN06,NB12,1,,0
301,GS45A,1ASSYF,250,CN06,NB12,1,,0
302,GY55A,1ASSYF,250,CN06,NB12,1,,0
303,FS541,1ASSYG,200,CN06,NB12,1,,1
304,GS540,1ASSYG,200,CN06,NB12,1,,1
305,GS55L,1ASSYG,200,CN06,NB12,1,,1
306,GV550,1ASSYG,200,CN06,NB12,1,,1
307,GV551,1ASSYG,200,CN06,NB12,1,,1
308,GV552,1ASSYG,260,CN06,NB12,1,,1
309,FS54A,1ASSYG,200,CN06,NB12,1,,1
310,GS54D,1ASSYG,200,CN06,NB12,1,,1
311,GS44D,1ASSYG,260,CN06,NB12,1,,1
312,GS54B,1ASSYG,250,CN06,NB12,1,,0
313,GS557,1ASSYG,250,CN06,NB12,1,,1
314,HC130,1ASSYG,260,CN06,NB12,1,,1
315,GS752,1ASSYG,220,CN06,NB12,1,,1
316,GS554,1ASSYG,250,CN06,NB12,1,,0
317,GS751,1ASSYG,200,CN06,NB12,1,,1
318,GS454,1ASSYG,250,CN06,NB12,1,,0
319,GS552,1ASSYG,250,CN06,NB12,1,,0
320,GS453,1ASSYG,250,CN06,NB12,1,,0
321,GS551,1ASSYG,250,CN06,NB12,1,,0
322,GS452,1ASSYG,250,CN06,NB12,1,,0
323,GS550,1ASSYG,250,CN06,NB12,1,,0
324,GS451,1ASSYG,250,CN06,NB12,1,,0
325,GS450,1ASSYG,250,CN06,NB12,1,,0
326,GS150,1ASSYG,260,CN06,NB12,1,,1
327,GS55J,1ASSYG,200,CN06,NB12,1,,1
328,GS55E,1ASSYG,250,CN06,NB12,1,,1
329,GS55D,1ASSYG,250,CN06,NB12,1,,1
330,HS550,1ASSYG,260,CN06,NB12,1,,1
331,GS55C,1ASSYG,220,CN06,NB12,1,,1
332,GS55A,1ASSYG,300,CN06,NB12,1,,1
333,FS540,1ASSYH,250,CN06,NB12,1,,0
334,FS541,1ASSYH,250,CN06,NB12,1,,0
335,GS346,1ASSYH,200,CN06,NB12,1,,1
336,FS542,1ASSYH,250,CN06,NB12,1,,0
337,FS543,1ASSYH,250,CN06,NB12,1,,0
338,GS541,1ASSYH,250,CN06,NB12,1,,0
339,GS540,1ASSYH,250,CN06,NB12,1,,0
340,GV450,1ASSYH,250,CN06,NB12,1,,0
341,GV451,1ASSYH,250,CN06,NB12,1,,0
342,GV452,1ASSYH,250,CN06,NB12,1,,0
343,GV453,1ASSYH,250,CN06,NB12,1,,0
344,GS54E,1ASSYH,250,CN06,NB12,1,,0
345,FS54A,1ASSYH,250,CN06,NB12,1,,0
346,GS54D,1ASSYH,250,CN06,NB12,1,,0
347,FS54B,1ASSYH,250,CN06,NB12,1,,0
348,GS54C,1ASSYH,250,CN06,NB12,1,,0
349,GS54B,1ASSYH,250,CN06,NB12,1,,0
350,FV540,1ASSYH,260,CN06,NB12,1,,1
351,GS752,1ASSYH,250,CN06,NB12,1,,1
352,GS554,1ASSYH,250,CN06,NB12,1,,0
353,GS751,1ASSYH,210,CN06,NB12,1,,1
354,GS750,1ASSYH,200,CN06,NB12,1,,0
355,GS552,1ASSYH,250,CN06,NB12,1,,0
356,GS551,1ASSYH,250,CN06,NB12,1,,0
357,GS550,1ASSYH,250,CN06,NB12,1,,0
358,GV541,1ASSYH,250,CN06,NB12,1,,0
359,GS55G,1ASSYH,250,CN06,NB12,1,,0
360,GS55B,1ASSYH,260,CN06,NB12,1,,0
361,GS55A,1ASSYH,250,CN06,NB12,1,,0
362,FS440,1ASSYH,250,CN06,NB12,1,,0
363,FS441,1ASSYH,250,CN06,NB12,1,,0
364,FS442,1ASSYH,250,CN06,NB12,1,,0
365,GS441,1ASSYH,250,CN06,NB12,1,,0
366,FS447,1ASSYH,250,CN06,NB12,1,,0
367,GS440,1ASSYH,250,CN06,NB12,1,,0
368,GV550,1ASSYH,250,CN06,NB12,1,,0
369,GV551,1ASSYH,250,CN06,NB12,1,,0
370,GV552,1ASSYH,250,CN06,NB12,1,,0
371,FS44A,1ASSYH,250,CN06,NB12,1,,0
372,GS44E,1ASSYH,250,CN06,NB12,1,,0
373,FS44C,1ASSYH,250,CN06,NB12,1,,0
374,GS44D,1ASSYH,250,CN06,NB12,1,,0
375,GS44B,1ASSYH,250,CN06,NB12,1,,0
376,HV750,1ASSYH,260,CN06,NB12,1,,0
377,GS457,1ASSYH,260,CN06,NB12,1,,1
378,HC130,1ASSYH,200,CN06,NB12,1,,1
379,GS454,1ASSYH,250,CN06,NB12,1,,1
380,FG741,1ASSYH,260,CN06,NB12,1,,1
381,GS453,1ASSYH,250,CN06,NB12,1,,1
382,FG740,1ASSYH,250,CN06,NB12,1,,1
383,GS452,1ASSYH,250,CN06,NB12,1,,1
384,FG541,1ASSYH,260,CN06,NB12,1,,1
385,GS451,1ASSYH,250,CN06,NB12,1,,1
386,FG540,1ASSYH,260,CN06,NB12,1,,1
387,GS450,1ASSYH,250,CN06,NB12,1,,1
388,FG742,1ASSYH,260,CN06,NB12,1,,1
389,GV440,1ASSYH,250,CN06,NB12,1,,0
390,GS45A,1ASSYH,250,CN06,NB12,1,,0
391,FS541,1ASSYI,200,CN06,NB12,1,,1
392,DG726,1ASSYI,220,CN06,NB12,1,,1
393,GS540,1ASSYI,200,CN06,NB12,1,,1
394,GV450,1ASSYI,260,CN06,NB12,1,,0
395,GV451,1ASSYI,250,CN06,NB12,1,,1
396,EV721,1ASSYI,220,CN06,NB12,1,,1
397,GV453,1ASSYI,250,CN06,NB12,1,,1
398,EV723,1ASSYI,220,CN06,NB12,1,,1
399,FS54A,1ASSYI,200,CN06,NB12,1,,1
400,GS54D,1ASSYI,200,CN06,NB12,1,,1
401,GS54B,1ASSYI,200,CN06,NB12,1,,1
402,EG733,1ASSYI,250,CN06,NB12,1,,0
403,EG732,1ASSYI,220,CN06,NB12,1,,1
404,EG735,1ASSYI,250,CN06,NB12,1,,0
405,EG537,1ASSYI,220,CN06,NB12,1,,1
406,EG734,1ASSYI,250,CN06,NB12,1,,0
407,EG530,1ASSYI,200,CN06,NB12,1,,1
408,EG730,1ASSYI,220,CN06,NB12,1,,1
409,FV741,1ASSYI,250,CN06,NB12,1,,0
410,GS752,1ASSYI,250,CN06,NB12,1,,0
411,GS554,1ASSYI,300,CN06,NB12,1,,0
412,GS751,1ASSYI,250,CN06,NB12,1,,0
413,GS750,1ASSYI,250,CN06,NB12,1,,0
414,GS552,1ASSYI,260,CN06,NB12,1,,0
415,GS551,1ASSYI,260,CN06,NB12,1,,0
416,GS550,1ASSYI,300,CN06,NB12,1,,0
417,FG7NC,1ASSYI,220,CN06,NB12,1,,1
418,FG7NA,1ASSYI,220,CN06,NB12,1,,1
419,GV541,1ASSYI,200,CN06,NB12,1,,1
420,HS550,1ASSYI,260,CN06,NB12,1,,1
421,GS55C,1ASSYI,220,CN06,NB12,1,,1
422,HS750,1ASSYI,50,CN06,NB12,1,,1
423,GS55A,1ASSYI,200,CN06,NB12,1,,1
424,FG7N1,1ASSYI,50,CN06,NB12,1,,0
425,FG7N0,1ASSYI,160,CN06,NB12,1,,0
426,GS440,1ASSYI,260,CN06,NB12,1,,1
427,GY551,1ASSYI,250,CN06,NB12,1,,1
428,GV550,1ASSYI,200,CN06,NB12,1,,1
429,GV551,1ASSYI,200,CN06,NB12,1,,1
430,FS44A,1ASSYI,260,CN06,NB12,1,,0
431,GS44D,1ASSYI,260,CN06,NB12,1,,0
432,GS44B,1ASSYI,260,CN06,NB12,1,,1
433,HV750,1ASSYI,260,CN06,NB12,1,,0
434,EG433,1ASSYI,260,CN06,NB12,1,,1
435,GY55C,1ASSYI,250,CN06,NB12,1,,1
436,FG548,1ASSYI,220,CN06,NB12,1,,1
437,GS454,1ASSYI,200,CN06,NB12,1,,1
438,FG741,1ASSYI,250,CN06,NB12,1,,0
439,FG543,1ASSYI,220,CN06,NB12,1,,1
440,GY55J,1ASSYI,250,CN06,NB12,1,,1
441,FG740,1ASSYI,250,CN06,NB12,1,,0
442,FG542,1ASSYI,220,CN06,NB12,1,,0
443,GS452,1ASSYI,250,CN06,NB12,1,,1
444,FG541,1ASSYI,220,CN06,NB12,1,,0
445,GY55L,1ASSYI,250,CN06,NB12,1,,1
446,GS451,1ASSYI,200,CN06,NB12,1,,1
447,GS450,1ASSYI,200,CN06,NB12,1,,1
448,EG53A,1ASSYI,200,CN06,NB12,1,,1
449,FG742,1ASSYI,250,CN06,NB12,1,,0
450,GY751,1ASSYI,250,CN06,NB12,1,,1
451,GY553,1ASSYI,250,CN06,NB12,1,,1
452,GV440,1ASSYI,260,CN06,NB12,1,,0
453,GY753,1ASSYI,250,CN06,NB12,1,,1
454,GY557,1ASSYI,200,CN06,NB12,1,,1
455,GY55A,1ASSYI,250,CN06,NB12,1,,1
456,FS540,1ASSYJ,330,CN06,NB12,1,,1
457,FS541,1ASSYJ,330,CN06,NB12,1,,1
458,FS542,1ASSYJ,280,CN06,NB12,1,,0
459,FS543,1ASSYJ,280,CN06,NB12,1,,0
460,GS541,1ASSYJ,330,CN06,NB12,1,,0
461,GS540,1ASSYJ,250,CN06,NB12,1,,1
462,GV450,1ASSYJ,330,CN06,NB12,1,,1
463,GV451,1ASSYJ,330,CN06,NB12,1,,1
464,GV452,1ASSYJ,250,CN06,NB12,1,,1
465,GV453,1ASSYJ,330,CN06,NB12,1,,1
466,GS54E,1ASSYJ,250,CN06,NB12,1,,1
467,FS54A,1ASSYJ,330,CN06,NB12,1,,1
468,GS54D,1ASSYJ,330,CN06,NB12,1,,1
469,FS54B,1ASSYJ,280,CN06,NB12,1,,0
470,GS54C,1ASSYJ,330,CN06,NB12,1,,0
471,GS54B,1ASSYJ,330,CN06,NB12,1,,1
472,EG534,1ASSYJ,280,CN06,NB12,1,,1
473,EG537,1ASSYJ,320,CN06,NB12,1,,1
474,EG536,1ASSYJ,320,CN06,NB12,1,,1
475,EG530,1ASSYJ,320,CN06,NB12,1,,1
476,EG532,1ASSYJ,320,CN06,NB12,1,,1
477,FV540,1ASSYJ,260,CN06,NB12,1,,1
478,FV741,1ASSYJ,250,CN06,NB12,1,,0
479,GS752,1ASSYJ,200,CN06,NB12,1,,1
480,GS554,1ASSYJ,250,CN06,NB12,1,,0
481,GS750,1ASSYJ,200,CN06,NB12,1,,0
482,GS552,1ASSYJ,250,CN06,NB12,1,,0
483,GS551,1ASSYJ,250,CN06,NB12,1,,0
484,GS550,1ASSYJ,250,CN06,NB12,1,,0
485,GV540,1ASSYJ,280,CN06,NB12,1,,0
486,GV541,1ASSYJ,330,CN06,NB12,1,,1
487,GS55G,1ASSYJ,250,CN06,NB12,1,,0
488,GS55B,1ASSYJ,200,CN06,NB12,1,,1
489,GS55A,1ASSYJ,250,CN06,NB12,1,,1
490,EG522,1ASSYJ,280,CN06,NB12,1,,1
491,EG521,1ASSYJ,280,CN06,NB12,1,,1
